"","sample_id","sample.type","sample.day","genotype","fertilization","ecostyle","replicates","soil_moisture","wet","pH_water","pH_kcl","Ecp","Eb","Ecb","nitraat","ammonia","shoot_length","root_length","shoot_dry_weight","root_dry_weight","tuber_dry_weight","root_shoot_ratio","tuber_fresh_weight"
"64","TP54_16S","Rhizosphere","8 weeks","Control","high","no","C",14.4465290806754,0.283,5.445,5.265,"372",14.3,48,94.3131901161399,1.73451547917437,NA,NA,NA,NA,NA,NA,NA
"65","TP55_16S","Rhizosphere","8 weeks","Danuta","high","no","C",9.22053231939162,0.078,5.5,5.215,"too dry",4.2,3,33.2963210793372,1.34311011938516,22.5,10.5,1.392,0.1391,10.94,9.99281609195402,37
"66","TP56_16S","Rhizosphere","8 weeks","Danuta","high","yes","C",12.4101581217058,0.091,5.405,5.19,"too dry",4.7,6,61.3775565450228,1.17671135722965,22,9,0.35,0.0248,4.94,7.08571428571429,13
"67","TP57_16S","Rhizosphere","8 weeks","Control","low","yes","C",11.8518518518518,0.28,5.84,5.455,"107",14.1,14,45.1578658477627,1.22788826581126,NA,NA,NA,NA,NA,NA,NA
"68","TP58_16S","Rhizosphere","5 weeks","Desiree","high","yes","C",5.49230902928653,0.034,5.555,5.175,"too dry",2.8,0,10.0636493405,1.59674710876549,33,33,1.9668,0.233,10.14,11.8466544641041,41.34
"69","TP59_16S","Rhizosphere","8 weeks","Desiree","high","no","C",7.72357723577236,0.05,5.56,5.22,"too dry",3.3,2,19.9566106321307,1.29591167465536,28,19,1.642,0.1755,14.44,10.6881851400731,58
"70","TP6_16S","Rhizosphere","8 weeks","Jelly","high","yes","A",7.06630780523609,0.062,5.415,5.155,"too dry",3.7,2,NA,NA,29,17,1.748,0.1454,14.26,8.31807780320366,52
"71","TP60_16S","Rhizosphere","8 weeks","Desiree","low","yes","C",8.48601735776275,0.092,6.1,5.345,"too dry",4.7,1,3.08343213063333,1.11682312205963,28,49.5,1.038,0.188,12.3,18.111753371869,43
"72","TP61_16S","Rhizosphere","8 weeks","Desiree","high","yes","C",8.62493839329717,0.118,5.38,5.125,"too dry",5.7,9,50.9019744633148,1.66059562207525,32,29,1.38,0.1174,15.25,8.50724637681159,55
"73","TP63_16S","Rhizosphere","8 weeks","Control","low","no","C",15.836050302748,0.168,5.87,5.5,"264",7.9,13,34.5485282167558,1.55863047954601,NA,NA,NA,NA,NA,NA,NA
"74","TP64_16S","Rhizosphere","5 weeks","Desiree","high","no","C",6.60417154909772,0.028,5.6,5.255,"too dry",2.7,0,12.8972749062005,1.66971908873175,34.5,28.5,1.6221,0.2199,14.49,13.5565008322545,51.6
"75","TP65_16S","Rhizosphere","8 weeks","Jelly","high","no","C",5.37530266343824,0.086,5.395,5.13,"too dry",4.5,3,40.3979423478099,1.57435301962286,26,15,1.864,0.1943,13.84,10.4238197424893,58
"76","TP66_16S","Rhizosphere","8 weeks","Desiree","low","no","C",9.7380128521997,0.079,6.045,5.41,"too dry",4.3,1,2.60553890987145,1.12216742332128,29,11,0.874,0.1885,11.47,21.5675057208238,39
"77","TP67_16S","Rhizosphere","5 weeks","Desiree","low","yes","C",8.15895741556534,0.039,6.035,5.42,"too dry",3,0,0.948643118668959,1.55425178895497,30,47,1.1819,0.1396,8.6,11.811489973771,27.1
"78","TP69_16S","Rhizosphere","8 weeks","Danuta","low","yes","C",11.1161939615737,0.142,5.845,5.34,"too dry",6.7,5,7.81736371618408,1.2927298636613,31.5,11.5,0.721,0.0873,7.01,12.1081830790569,20
"79","TP70_16S","Rhizosphere","8 weeks","Jelly","low","no","C",9.00243309002432,0.073,6.06,5.37,"too dry",4.1,0,3.11215422227209,1.18807649656829,32,40,1.16,0.2525,13.74,21.7672413793103,48
"80","TP71_16S","Rhizosphere","8 weeks","Jelly","high","yes","C",7.15686274509804,0.099,5.595,5.225,"too dry",5,4,18.3502688358458,1.65089936010372,32,28,2.448,0.3638,15.88,14.8611111111111,66
"81","TP72_16S","Rhizosphere","8 weeks","Danuta","low","no","C",6.96640316205532,0.086,5.865,5.235,"too dry",4.5,1,6.50489917030991,1.66565238520354,27,12.5,0.827,0.0787,10.54,9.51632406287787,33
"82","TP73_16S","Rhizosphere","8 weeks","Jelly","high","yes","D",7.21549636803875,0.101,5.365,5.18,"too dry",5,4,16.8010223498732,1.30454491534676,27,35.5,1.996,0.2766,17.11,13.8577154308617,64
"83","TP74_16S","Rhizosphere","8 weeks","Jelly","low","no","D",12.0382442416341,0.074,6.045,5.535,"too dry",4.1,0,3.0137337160146,1.46720863594132,29,27,1.507,0.3143,11.55,20.8560053085601,42
"84","TP76_16S","Rhizosphere","5 weeks","Desiree","low","yes","D",12.8117947946442,0.123,6.025,5.455,"too dry",5.9,1,1.86574518516994,1.62537915956602,21,34,1.0946,0.1873,12.89,17.1112735245752,40
"85","TP77_16S","Rhizosphere","8 weeks","Desiree","high","no","D",6.1477441745166,0.072,5.325,5.125,"too dry",4,2,14.3019048394724,1.55304066177173,34,37,1.754,0.3201,16.72,18.2497149372862,63
"86","TP79_16S","Rhizosphere","8 weeks","Control","low","no","D",15.5003762227238,0.317,5.8,5.465,"232",16.5,36,35.5470815663007,1.09953288521199,NA,NA,NA,NA,NA,NA,NA
